,age,delay_sum,model
2,15.0,16.0,737-3TO
5,15.0,135.0,737-3TO
12,15.0,1.0,737-3TO
14,15.0,65.0,737-3TO
15,15.0,248.0,737-3TO
16,15.0,70.0,737-3TO
17,15.0,26.0,737-3TO
18,15.0,19.0,737-3TO
22,15.0,21.0,737-3TO
23,15.0,14.0,737-3TO
29,15.0,22.0,737-3TO
31,15.0,3.0,737-3TO
33,15.0,15.0,737-3TO
34,15.0,9.0,737-3TO
36,15.0,3.0,737-3TO
37,15.0,9.0,737-3TO
38,15.0,1.0,737-3TO
41,15.0,48.0,737-3TO
42,15.0,47.0,737-3TO
45,15.0,3.0,737-3TO
47,15.0,87.0,737-3TO
48,15.0,51.0,737-3TO
51,15.0,69.0,737-3TO
52,15.0,282.0,737-3TO
54,15.0,2.0,737-3TO
55,15.0,87.0,737-3TO
62,15.0,7.0,737-3TO
65,15.0,6.0,737-3TO
66,15.0,9.0,737-3TO
68,15.0,9.0,737-3TO
69,15.0,41.0,737-3TO
70,15.0,7.0,737-3TO
75,15.0,81.0,737-3TO
76,15.0,13.0,737-3TO
79,15.0,3.0,737-3TO
82,15.0,7.0,737-3TO
88,15.0,5.0,737-3TO
90,15.0,60.0,737-3TO
101,15.0,44.0,737-3TO
103,15.0,2.0,737-3TO
106,15.0,64.0,737-3TO
110,15.0,15.0,737-3TO
112,15.0,2.0,737-3TO
113,15.0,29.0,737-3TO
114,15.0,6.0,737-3TO
115,15.0,5.0,737-3TO
116,15.0,18.0,737-3TO
117,15.0,110.0,737-3TO
118,15.0,5.0,737-3TO
120,15.0,3.0,737-3TO
121,15.0,73.0,737-3TO
124,15.0,35.0,737-3TO
125,15.0,7.0,737-3TO
129,15.0,91.0,737-3TO
131,15.0,13.0,737-3TO
137,15.0,67.0,737-3TO
140,15.0,9.0,737-3TO
141,15.0,16.0,737-3TO
147,15.0,224.0,737-3TO
148,15.0,6.0,737-3TO
150,15.0,14.0,737-3TO
158,15.0,7.0,737-3TO
159,15.0,3.0,737-3TO
161,15.0,1.0,737-3TO
164,15.0,5.0,737-3TO
167,15.0,148.0,737-3TO
172,15.0,16.0,737-3TO
175,15.0,71.0,737-3TO
177,15.0,2.0,737-3TO
180,15.0,50.0,737-3TO
182,15.0,102.0,737-3TO
183,15.0,4.0,737-3TO
192,15.0,96.0,737-3TO
193,15.0,106.0,737-3TO
194,15.0,349.0,737-3TO
195,15.0,109.0,737-3TO
197,15.0,15.0,737-3TO
203,15.0,1.0,737-3TO
206,15.0,6.0,737-3TO
207,15.0,19.0,737-3TO
208,15.0,54.0,737-3TO
210,15.0,259.0,737-3TO
211,15.0,374.0,737-3TO
213,15.0,3.0,737-3TO
214,15.0,3.0,737-3TO
215,15.0,27.0,737-3TO
217,15.0,66.0,737-3TO
218,15.0,6.0,737-3TO
220,15.0,93.0,737-3TO
221,15.0,20.0,737-3TO
222,15.0,2.0,737-3TO
224,15.0,13.0,737-3TO
226,15.0,10.0,737-3TO
230,15.0,139.0,737-3TO
232,15.0,3.0,737-3TO
234,15.0,9.0,737-3TO
238,15.0,3.0,737-3TO
239,15.0,3.0,737-3TO
240,15.0,13.0,737-3TO
242,15.0,32.0,737-3TO
243,15.0,4.0,737-3TO
246,15.0,17.0,737-3TO
247,15.0,45.0,737-3TO
250,15.0,72.0,737-3TO
252,15.0,442.0,737-3TO
253,15.0,187.0,737-3TO
259,15.0,1.0,737-3TO
260,15.0,1.0,737-3TO
261,15.0,17.0,737-3TO
262,15.0,60.0,737-3TO
263,15.0,82.0,737-3TO
272,15.0,15.0,737-3TO
273,15.0,33.0,737-3TO
277,15.0,19.0,737-3TO
283,15.0,2.0,737-3TO
285,15.0,35.0,737-3TO
293,15.0,71.0,737-3TO
294,15.0,26.0,737-3TO
296,15.0,3.0,737-3TO
298,15.0,21.0,737-3TO
300,15.0,49.0,737-3TO
307,15.0,129.0,737-3TO
308,15.0,66.0,737-3TO
313,15.0,15.0,737-3TO
322,15.0,3.0,737-3TO
332,15.0,64.0,737-3TO
333,15.0,22.0,737-3TO
336,15.0,19.0,737-3TO
338,15.0,5.0,737-3TO
339,15.0,242.0,737-3TO
342,15.0,220.0,737-3TO
344,15.0,29.0,737-3TO
345,15.0,10.0,737-3TO
346,15.0,18.0,737-3TO
348,15.0,1.0,737-3TO
350,15.0,12.0,737-3TO
351,15.0,37.0,737-3TO
353,15.0,68.0,737-3TO
357,15.0,66.0,737-3TO
358,15.0,20.0,737-3TO
359,15.0,47.0,737-3TO
363,15.0,3.0,737-3TO
372,15.0,6.0,737-3TO
373,15.0,9.0,737-3TO
374,15.0,34.0,737-3TO
377,15.0,19.0,737-3TO
378,15.0,23.0,737-3TO
379,15.0,25.0,737-3TO
380,15.0,4.0,737-3TO
383,15.0,7.0,737-3TO
397,15.0,50.0,737-3TO
401,15.0,2.0,737-3TO
409,15.0,11.0,737-3TO
413,15.0,110.0,737-3TO
420,15.0,40.0,737-3TO
423,15.0,16.0,737-3TO
425,15.0,45.0,737-3TO
427,15.0,64.0,737-3TO
428,15.0,2.0,737-3TO
432,15.0,10.0,737-3TO
433,15.0,86.0,737-3TO
434,15.0,42.0,737-3TO
436,15.0,97.0,737-3TO
437,15.0,37.0,737-3TO
438,15.0,182.0,737-3TO
440,15.0,22.0,737-3TO
441,15.0,59.0,737-3TO
452,15.0,174.0,737-3TO
457,15.0,1.0,737-3TO
460,15.0,1.0,737-3TO
461,15.0,39.0,737-3TO
462,15.0,4.0,737-3TO
469,15.0,39.0,737-3TO
470,15.0,57.0,737-3TO
471,15.0,1.0,737-3TO
474,15.0,24.0,737-3TO
475,15.0,42.0,737-3TO
478,15.0,27.0,737-3TO
482,15.0,28.0,737-3TO
484,15.0,162.0,737-3TO
485,15.0,256.0,737-3TO
486,15.0,69.0,737-3TO
487,15.0,15.0,737-3TO
490,15.0,1.0,737-3TO
496,15.0,12.0,737-3TO
499,15.0,5.0,737-3TO
504,15.0,89.0,737-3TO
506,15.0,82.0,737-3TO
508,15.0,2.0,737-3TO
510,15.0,11.0,737-3TO
513,15.0,147.0,737-3TO
514,15.0,124.0,737-3TO
515,15.0,95.0,737-3TO
516,15.0,43.0,737-3TO
517,15.0,4.0,737-3TO
524,15.0,5.0,737-3TO
525,15.0,3.0,737-3TO
527,15.0,9.0,737-3TO
528,15.0,1.0,737-3TO
529,15.0,11.0,737-3TO
530,15.0,53.0,737-3TO
531,15.0,12.0,737-3TO
533,15.0,16.0,737-3TO
534,15.0,8.0,737-3TO
535,15.0,8.0,737-3TO
536,15.0,9.0,737-3TO
538,15.0,4.0,737-3TO
539,15.0,9.0,737-3TO
540,15.0,12.0,737-3TO
546,15.0,80.0,737-3TO
548,15.0,39.0,737-3TO
550,15.0,3.0,737-3TO
552,15.0,10.0,737-3TO
554,15.0,681.0,737-3TO
555,15.0,565.0,737-3TO
556,15.0,541.0,737-3TO
557,15.0,207.0,737-3TO
558,15.0,48.0,737-3TO
563,15.0,178.0,737-3TO
566,15.0,82.0,737-3TO
567,15.0,75.0,737-3TO
573,15.0,35.0,737-3TO
576,15.0,37.0,737-3TO
577,15.0,59.0,737-3TO
579,15.0,57.0,737-3TO
582,15.0,36.0,737-3TO
587,15.0,18.0,737-3TO
592,15.0,162.0,737-3TO
594,15.0,11.0,737-3TO
595,15.0,116.0,737-3TO
598,15.0,21.0,737-3TO
599,15.0,110.0,737-3TO
600,15.0,64.0,737-3TO
602,15.0,2.0,737-3TO
603,15.0,6.0,737-3TO
604,15.0,20.0,737-3TO
606,15.0,6.0,737-3TO
609,15.0,7.0,737-3TO
611,15.0,12.0,737-3TO
613,15.0,34.0,737-3TO
616,15.0,17.0,737-3TO
617,15.0,17.0,737-3TO
621,15.0,13.0,737-3TO
625,15.0,1.0,737-3TO
629,15.0,104.0,737-3TO
630,15.0,139.0,737-3TO
631,15.0,22.0,737-3TO
632,15.0,94.0,737-3TO
638,15.0,4.0,737-3TO
639,15.0,12.0,737-3TO
640,15.0,1.0,737-3TO
641,15.0,1.0,737-3TO
642,15.0,212.0,737-3TO
645,15.0,9.0,737-3TO
646,15.0,88.0,737-3TO
647,15.0,117.0,737-3TO
650,15.0,16.0,737-3TO
651,15.0,12.0,737-3TO
652,15.0,4.0,737-3TO
657,15.0,33.0,737-3TO
658,15.0,6.0,737-3TO
660,15.0,5.0,737-3TO
661,15.0,10.0,737-3TO
662,15.0,136.0,737-3TO
663,15.0,178.0,737-3TO
665,15.0,524.0,737-3TO
667,15.0,3.0,737-3TO
668,15.0,4.0,737-3TO
669,15.0,8.0,737-3TO
671,15.0,41.0,737-3TO
672,15.0,106.0,737-3TO
673,15.0,42.0,737-3TO
674,15.0,12.0,737-3TO
675,15.0,18.0,737-3TO
676,15.0,140.0,737-3TO
677,15.0,66.0,737-3TO
678,15.0,92.0,737-3TO
680,15.0,56.0,737-3TO
681,15.0,318.0,737-3TO
682,15.0,123.0,737-3TO
683,15.0,22.0,737-3TO
687,15.0,15.0,737-3TO
688,15.0,34.0,737-3TO
689,15.0,272.0,737-3TO
690,15.0,104.0,737-3TO
691,15.0,193.0,737-3TO
692,15.0,60.0,737-3TO
694,15.0,8.0,737-3TO
695,15.0,90.0,737-3TO
696,15.0,116.0,737-3TO
699,15.0,71.0,737-3TO
701,15.0,36.0,737-3TO
702,15.0,22.0,737-3TO
703,15.0,7.0,737-3TO
706,15.0,49.0,737-3TO
708,15.0,54.0,737-3TO
709,15.0,60.0,737-3TO
712,15.0,55.0,737-3TO
714,15.0,12.0,737-3TO
716,15.0,44.0,737-3TO
717,15.0,656.0,737-3TO
723,15.0,63.0,737-3TO
728,15.0,133.0,737-3TO
733,15.0,648.0,737-3TO
739,15.0,32.0,737-3TO
740,15.0,9.0,737-3TO
741,15.0,15.0,737-3TO
753,15.0,41.0,737-3TO
754,15.0,5.0,737-3TO
755,15.0,6.0,737-3TO
756,15.0,20.0,737-3TO
758,15.0,21.0,737-3TO
759,15.0,17.0,737-3TO
761,15.0,11.0,737-3TO
763,15.0,16.0,737-3TO
766,15.0,37.0,737-3TO
768,15.0,55.0,737-3TO
769,15.0,5.0,737-3TO
773,15.0,21.0,737-3TO
785,15.0,8.0,737-3TO
786,15.0,39.0,737-3TO
788,15.0,2.0,737-3TO
789,15.0,96.0,737-3TO
792,15.0,1.0,737-3TO
799,15.0,1.0,737-3TO
802,15.0,26.0,737-3TO
805,15.0,9.0,737-3TO
808,15.0,126.0,737-3TO
812,15.0,20.0,737-3TO
813,15.0,13.0,737-3TO
820,15.0,57.0,737-3TO
823,15.0,72.0,737-3TO
824,15.0,21.0,737-3TO
828,15.0,19.0,737-3TO
831,15.0,27.0,737-3TO
833,15.0,14.0,737-3TO
839,15.0,7.0,737-3TO
840,15.0,29.0,737-3TO
843,15.0,3.0,737-3TO
844,15.0,4.0,737-3TO
846,15.0,169.0,737-3TO
847,15.0,33.0,737-3TO
848,15.0,50.0,737-3TO
853,15.0,4.0,737-3TO
854,15.0,11.0,737-3TO
855,15.0,51.0,737-3TO
858,15.0,40.0,737-3TO
859,15.0,8.0,737-3TO
861,15.0,4.0,737-3TO
866,15.0,213.0,737-3TO
867,15.0,53.0,737-3TO
868,15.0,252.0,737-3TO
869,15.0,113.0,737-3TO
870,15.0,51.0,737-3TO
871,15.0,20.0,737-3TO
872,15.0,14.0,737-3TO
873,15.0,15.0,737-3TO
874,15.0,6.0,737-3TO
876,15.0,166.0,737-3TO
877,15.0,80.0,737-3TO
878,15.0,39.0,737-3TO
882,15.0,10.0,737-3TO
883,15.0,47.0,737-3TO
887,15.0,10.0,737-3TO
889,15.0,2.0,737-3TO
890,15.0,10.0,737-3TO
901,15.0,13.0,737-3TO
907,15.0,7.0,737-3TO
908,15.0,5.0,737-3TO
915,15.0,4.0,737-3TO
919,15.0,9.0,737-3TO
921,15.0,17.0,737-3TO
922,15.0,1.0,737-3TO
924,15.0,34.0,737-3TO
929,15.0,5.0,737-3TO
936,15.0,9.0,737-3TO
938,15.0,1.0,737-3TO
939,15.0,6.0,737-3TO
940,15.0,5.0,737-3TO
941,15.0,5.0,737-3TO
942,15.0,5.0,737-3TO
947,15.0,138.0,737-3TO
948,15.0,136.0,737-3TO
951,15.0,6.0,737-3TO
952,15.0,2.0,737-3TO
954,15.0,258.0,737-3TO
958,15.0,59.0,737-3TO
959,15.0,17.0,737-3TO
960,15.0,13.0,737-3TO
961,15.0,8.0,737-3TO
965,15.0,4.0,737-3TO
967,15.0,18.0,737-3TO
968,15.0,7.0,737-3TO
969,15.0,108.0,737-3TO
971,15.0,47.0,737-3TO
972,1.0,1.0,737-824
973,1.0,22.0,737-824
977,1.0,18.0,737-824
978,1.0,4.0,737-824
979,1.0,128.0,737-824
981,1.0,19.0,737-824
983,1.0,64.0,737-824
984,1.0,16.0,737-824
989,1.0,2.0,737-824
1002,1.0,181.0,737-824
1003,1.0,210.0,737-824
1004,1.0,1.0,737-824
1007,1.0,5.0,737-824
1016,1.0,14.0,737-824
1017,1.0,91.0,737-824
1018,1.0,91.0,737-824
1020,1.0,7.0,737-824
1022,1.0,13.0,737-824
1023,1.0,54.0,737-824
1024,1.0,33.0,737-824
1030,1.0,3.0,737-824
1031,1.0,27.0,737-824
1032,1.0,141.0,737-824
1039,1.0,40.0,737-824
1040,1.0,14.0,737-824
1044,1.0,5.0,737-824
1045,1.0,2.0,737-824
1048,1.0,32.0,737-824
1049,1.0,6.0,737-824
1050,1.0,13.0,737-824
1051,1.0,11.0,737-824
1052,1.0,12.0,737-824
1054,1.0,20.0,737-824
1055,1.0,6.0,737-824
1057,1.0,10.0,737-824
1059,1.0,7.0,737-824
1061,1.0,257.0,737-824
1062,1.0,95.0,737-824
1063,1.0,8.0,737-824
1066,1.0,9.0,737-824
1067,1.0,28.0,737-824
1068,1.0,53.0,737-824
1070,1.0,1.0,737-824
1072,1.0,489.0,737-824
1073,1.0,1.0,737-824
1076,1.0,51.0,737-824
1080,1.0,11.0,737-824
1083,1.0,93.0,737-824
1084,1.0,1.0,737-824
1085,1.0,123.0,737-824
1088,1.0,17.0,737-824
1089,1.0,26.0,737-824
1091,1.0,12.0,737-824
1096,1.0,34.0,737-824
1097,1.0,27.0,737-824
1098,1.0,34.0,737-824
1100,1.0,10.0,737-824
1103,1.0,4.0,737-824
1104,1.0,5.0,737-824
1105,1.0,36.0,737-824
1107,1.0,14.0,737-824
1111,1.0,7.0,737-824
1112,1.0,40.0,737-824
1115,1.0,77.0,737-824
1118,1.0,25.0,737-824
1122,1.0,415.0,737-824
1124,1.0,28.0,737-824
1125,1.0,5.0,737-824
1129,1.0,189.0,737-824
1131,1.0,56.0,737-824
1133,1.0,13.0,737-824
1136,1.0,5.0,737-824
1141,1.0,12.0,737-824
1142,1.0,35.0,737-824
1143,1.0,6.0,737-824
1144,1.0,8.0,737-824
1148,1.0,43.0,737-824
1149,1.0,5.0,737-824
1152,1.0,1.0,737-824
1153,1.0,42.0,737-824
1154,1.0,92.0,737-824
1155,1.0,38.0,737-824
1157,1.0,11.0,737-824
1159,1.0,38.0,737-824
1162,1.0,21.0,737-824
1163,1.0,14.0,737-824
1165,1.0,31.0,737-824
1171,1.0,33.0,737-824
1172,1.0,56.0,737-824
1175,1.0,831.0,737-824
1176,1.0,50.0,737-824
1184,1.0,5.0,737-824
1185,1.0,315.0,737-824
1186,1.0,412.0,737-824
1191,1.0,38.0,737-824
1194,1.0,20.0,737-824
1195,1.0,17.0,737-824
1196,1.0,141.0,737-824
1198,1.0,38.0,737-824
1199,1.0,14.0,737-824
1200,1.0,43.0,737-824
1201,1.0,24.0,737-824
1202,1.0,8.0,737-824
1203,1.0,7.0,737-824
1209,1.0,56.0,737-824
1210,1.0,161.0,737-824
1214,1.0,14.0,737-824
1215,1.0,27.0,737-824
1216,1.0,12.0,737-824
1218,1.0,26.0,737-824
1221,1.0,41.0,737-824
1223,1.0,74.0,737-824
1226,1.0,7.0,737-824
1227,1.0,37.0,737-824
1228,1.0,61.0,737-824
1229,1.0,21.0,737-824
1230,1.0,42.0,737-824
1231,1.0,7.0,737-824
1236,1.0,13.0,737-824
1237,1.0,8.0,737-824
1238,1.0,51.0,737-824
1239,1.0,13.0,737-824
1240,1.0,261.0,737-824
1241,1.0,286.0,737-824
1243,1.0,11.0,737-824
1246,1.0,49.0,737-824
1248,1.0,19.0,737-824
1254,1.0,8.0,737-824
1255,1.0,6.0,737-824
1256,1.0,67.0,737-824
1257,1.0,36.0,737-824
1260,1.0,1.0,737-824
1265,1.0,4.0,737-824
1267,1.0,2.0,737-824
1268,1.0,3.0,737-824
1274,1.0,23.0,737-824
1276,1.0,102.0,737-824
1279,1.0,11.0,737-824
1281,1.0,21.0,737-824
1282,1.0,23.0,737-824
1283,1.0,20.0,737-824
1284,1.0,8.0,737-824
1286,1.0,153.0,737-824
1292,1.0,5.0,737-824
1293,1.0,7.0,737-824
1294,1.0,7.0,737-824
1301,1.0,15.0,737-824
1307,1.0,111.0,737-824
1308,1.0,31.0,737-824
1309,1.0,9.0,737-824
1318,1.0,37.0,737-824
1321,1.0,8.0,737-824
1335,1.0,6.0,737-824
1336,1.0,408.0,737-824
1344,1.0,5.0,737-824
1349,1.0,218.0,737-824
1350,1.0,20.0,737-824
1354,1.0,201.0,737-824
1355,1.0,9.0,737-824
1366,1.0,10.0,737-824
1368,1.0,45.0,737-824
1370,1.0,6.0,737-824
1371,1.0,32.0,737-824
1372,1.0,24.0,737-824
1373,1.0,234.0,737-824
1377,1.0,59.0,737-824
1380,1.0,59.0,737-824
1381,1.0,2.0,737-824
1382,1.0,108.0,737-824
1384,1.0,21.0,737-824
1385,1.0,36.0,737-824
1386,1.0,46.0,737-824
1387,1.0,27.0,737-824
1388,1.0,106.0,737-824
1389,1.0,28.0,737-824
1391,1.0,11.0,737-824
1393,1.0,342.0,737-824
1394,1.0,9.0,737-824
1397,1.0,21.0,737-824
1411,1.0,6.0,737-824
1413,1.0,6.0,737-824
1414,1.0,27.0,737-824
1419,1.0,4.0,737-824
1426,1.0,3.0,737-824
1427,1.0,4.0,737-824
1434,1.0,9.0,737-824
1440,1.0,1.0,737-824
1442,1.0,15.0,737-824
1445,1.0,168.0,737-824
1449,1.0,45.0,737-824
1450,1.0,14.0,737-824
1451,1.0,18.0,737-824
1458,1.0,91.0,737-824
1460,1.0,22.0,737-824
1465,1.0,14.0,737-824
1467,1.0,10.0,737-824
1470,1.0,24.0,737-824
1471,1.0,55.0,737-824
1473,1.0,6.0,737-824
1475,1.0,16.0,737-824
1477,1.0,27.0,737-824
1478,1.0,22.0,737-824
1479,1.0,6.0,737-824
1490,1.0,18.0,737-824
1493,1.0,13.0,737-824
1494,1.0,90.0,737-824
1496,1.0,16.0,737-824
1498,1.0,22.0,737-824
1502,1.0,8.0,737-824
1504,1.0,1.0,737-824
1512,1.0,171.0,737-824
1516,1.0,10.0,737-824
1518,1.0,15.0,737-824
1519,1.0,32.0,737-824
1521,1.0,20.0,737-824
1522,1.0,9.0,737-824
1523,1.0,12.0,737-824
1525,1.0,7.0,737-824
1529,1.0,61.0,737-824
1536,1.0,23.0,737-824
1537,1.0,1.0,737-824
1544,1.0,2.0,737-824
1545,1.0,10.0,737-824
1549,1.0,33.0,737-824
1553,1.0,4.0,737-824
1555,1.0,5.0,737-824
1556,1.0,2.0,737-824
1557,1.0,22.0,737-824
1559,1.0,2.0,737-824
1560,1.0,6.0,737-824
1563,1.0,52.0,737-824
1564,1.0,72.0,737-824
1566,1.0,86.0,737-824
1567,1.0,5.0,737-824
1575,1.0,3.0,737-824
1577,1.0,31.0,737-824
1578,1.0,1876.0,737-824
1582,1.0,9.0,737-824
1585,1.0,27.0,737-824
1586,1.0,3.0,737-824
1588,1.0,4.0,737-824
1590,1.0,101.0,737-824
1592,1.0,5.0,737-824
1593,1.0,74.0,737-824
1594,1.0,5.0,737-824
1596,1.0,1.0,737-824
1597,1.0,15.0,737-824
1598,1.0,4.0,737-824
1600,1.0,4.0,737-824
1604,1.0,11.0,737-824
1605,1.0,6.0,737-824
1611,1.0,114.0,737-824
1614,1.0,14.0,737-824
1620,1.0,45.0,737-824
1624,1.0,9.0,737-824
1625,1.0,35.0,737-824
1627,1.0,44.0,737-824
1630,1.0,59.0,737-824
1635,1.0,47.0,737-824
1637,1.0,1.0,737-824
1638,1.0,285.0,737-824
1643,1.0,86.0,737-824
1644,1.0,76.0,737-824
1647,1.0,29.0,737-824
1648,1.0,29.0,737-824
1649,1.0,11.0,737-824
1658,1.0,104.0,737-824
1659,1.0,29.0,737-824
1660,1.0,14.0,737-824
1661,1.0,8.0,737-824
1662,1.0,92.0,737-824
1663,1.0,200.0,737-824
1665,1.0,157.0,737-824
1673,1.0,15.0,737-824
1675,1.0,4.0,737-824
1680,1.0,4.0,737-824
1684,1.0,16.0,737-824
1689,1.0,12.0,737-824
1700,1.0,3.0,737-824
1706,1.0,55.0,737-824
1712,1.0,12.0,737-824
1713,1.0,3.0,737-824
1718,1.0,7.0,737-824
1720,1.0,9.0,737-824
1724,1.0,8.0,737-824
1726,1.0,12.0,737-824
1727,1.0,20.0,737-824
1729,1.0,29.0,737-824
1730,1.0,73.0,737-824
1731,1.0,6.0,737-824
1732,1.0,3.0,737-824
1737,1.0,12.0,737-824
1738,1.0,13.0,737-824
1741,1.0,1.0,737-824
1743,1.0,26.0,737-824
1744,1.0,62.0,737-824
1745,1.0,11.0,737-824
1749,1.0,1.0,737-824
1750,1.0,53.0,737-824
1751,1.0,7.0,737-824
1753,1.0,59.0,737-824
1761,1.0,1.0,737-824
1764,1.0,9.0,737-824
1766,1.0,4.0,737-824
1773,1.0,20.0,737-824
1775,1.0,1.0,737-824
1776,1.0,24.0,737-824
1783,1.0,6.0,737-824
1785,1.0,12.0,737-824
1788,1.0,3.0,737-824
1792,1.0,1.0,737-824
1793,1.0,8.0,737-824
1799,1.0,5.0,737-824
1800,1.0,13.0,737-824
1801,1.0,15.0,737-824
1807,1.0,6.0,737-824
1809,1.0,19.0,737-824
1815,1.0,8.0,737-824
1816,1.0,5.0,737-824
1817,1.0,18.0,737-824
1825,1.0,121.0,737-824
1826,1.0,37.0,737-824
1828,1.0,57.0,737-824
1835,1.0,11.0,737-824
1837,1.0,2.0,737-824
1839,1.0,2.0,737-824
1841,1.0,6.0,737-824
1849,1.0,3.0,737-824
1850,1.0,2.0,737-824
1851,1.0,11.0,737-824
1852,1.0,8.0,737-824
1853,1.0,19.0,737-824
1854,1.0,24.0,737-824
1855,1.0,13.0,737-824
1856,1.0,20.0,737-824
1857,1.0,39.0,737-824
1863,1.0,8.0,737-824
1864,1.0,12.0,737-824
1866,1.0,27.0,737-824
1867,1.0,45.0,737-824
1872,1.0,33.0,737-824
1873,1.0,16.0,737-824
1877,1.0,8.0,737-824
1881,1.0,160.0,737-824
1886,1.0,2.0,737-824
1889,1.0,28.0,737-824
1891,1.0,9.0,737-824
1892,1.0,2.0,737-824
1893,1.0,23.0,737-824
1894,1.0,24.0,737-824
1895,1.0,15.0,737-824
1899,1.0,34.0,737-824
1903,7.0,17.0,737-524
1904,7.0,28.0,737-524
1905,7.0,101.0,737-524
1908,7.0,10.0,737-524
1909,7.0,14.0,737-524
1911,7.0,32.0,737-524
1912,7.0,19.0,737-524
1913,7.0,6.0,737-524
1914,7.0,85.0,737-524
1915,7.0,10.0,737-524
1920,7.0,21.0,737-524
1927,7.0,54.0,737-524
1929,7.0,14.0,737-524
1930,7.0,24.0,737-524
1931,7.0,6.0,737-524
1934,7.0,7.0,737-524
1942,7.0,4.0,737-524
1943,7.0,9.0,737-524
1958,7.0,11.0,737-524
1959,7.0,82.0,737-524
1960,7.0,43.0,737-524
1961,7.0,118.0,737-524
1962,7.0,21.0,737-524
1963,7.0,14.0,737-524
1966,7.0,6.0,737-524
1974,7.0,3.0,737-524
1979,7.0,1.0,737-524
1980,7.0,4.0,737-524
1981,7.0,12.0,737-524
1983,7.0,21.0,737-524
1985,7.0,9.0,737-524
1987,7.0,13.0,737-524
1990,7.0,19.0,737-524
1993,7.0,7.0,737-524
1994,7.0,210.0,737-524
1996,7.0,22.0,737-524
2000,7.0,219.0,737-524
2004,7.0,33.0,737-524
2005,7.0,4.0,737-524
2006,7.0,41.0,737-524
2007,7.0,1.0,737-524
2020,7.0,24.0,737-524
2022,7.0,11.0,737-524
2023,7.0,1.0,737-524
2030,7.0,28.0,737-524
2031,7.0,64.0,737-524
2032,7.0,1.0,737-524
2033,7.0,144.0,737-524
2036,7.0,4.0,737-524
2037,7.0,39.0,737-524
2039,7.0,1.0,737-524
2041,7.0,13.0,737-524
2047,7.0,10.0,737-524
2048,7.0,2.0,737-524
2056,7.0,40.0,737-524
2057,7.0,53.0,737-524
2058,7.0,19.0,737-524
2060,7.0,12.0,737-524
2063,7.0,30.0,737-524
2064,7.0,42.0,737-524
2069,7.0,28.0,737-524
2072,7.0,44.0,737-524
2080,7.0,30.0,737-524
2082,7.0,21.0,737-524
2088,7.0,3.0,737-524
2104,7.0,11.0,737-524
2108,7.0,115.0,737-524
2109,7.0,144.0,737-524
2110,7.0,117.0,737-524
2113,7.0,13.0,737-524
2115,7.0,13.0,737-524
2117,7.0,63.0,737-524
2119,7.0,13.0,737-524
2122,7.0,1.0,737-524
2132,7.0,12.0,737-524
2133,7.0,8.0,737-524
2134,7.0,11.0,737-524
2140,7.0,37.0,737-524
2146,7.0,50.0,737-524
2147,7.0,11.0,737-524
2150,7.0,6.0,737-524
2156,7.0,5.0,737-524
2160,7.0,3.0,737-524
2163,7.0,8.0,737-524
2165,7.0,1.0,737-524
2168,7.0,4.0,737-524
2181,7.0,8.0,737-524
2183,7.0,44.0,737-524
2197,7.0,3.0,737-524
2206,7.0,2.0,737-524
2215,7.0,15.0,737-524
2216,7.0,23.0,737-524
2217,7.0,4.0,737-524
2220,7.0,14.0,737-524
2229,7.0,2.0,737-524
2235,7.0,2.0,737-524
2241,7.0,140.0,737-524
2242,7.0,20.0,737-524
2243,7.0,118.0,737-524
2247,7.0,772.0,737-524
2250,7.0,229.0,737-524
2251,7.0,17.0,737-524
2252,7.0,13.0,737-524
2254,7.0,26.0,737-524
2255,7.0,15.0,737-524
2258,7.0,1.0,737-524
2262,7.0,89.0,737-524
2263,7.0,5.0,737-524
2264,7.0,1.0,737-524
2265,7.0,142.0,737-524
2266,7.0,61.0,737-524
2269,7.0,6.0,737-524
2272,7.0,9.0,737-524
2274,7.0,8.0,737-524
2281,7.0,20.0,737-524
2282,7.0,6.0,737-524
2285,7.0,96.0,737-524
2286,7.0,41.0,737-524
2305,7.0,6.0,737-524
2312,7.0,15.0,737-524
2313,7.0,167.0,737-524
2315,7.0,25.0,737-524
2316,7.0,9.0,737-524
2321,7.0,9.0,737-524
2328,7.0,55.0,737-524
2329,7.0,32.0,737-524
2335,7.0,1.0,737-524
2338,7.0,50.0,737-524
2344,7.0,96.0,737-524
2346,7.0,204.0,737-524
2350,7.0,3.0,737-524
2354,7.0,2.0,737-524
2361,7.0,2.0,737-524
2366,7.0,1.0,737-524
2367,7.0,2.0,737-524
2368,7.0,40.0,737-524
2369,7.0,62.0,737-524
2373,7.0,253.0,737-524
2374,7.0,462.0,737-524
2389,7.0,8.0,737-524
2390,7.0,184.0,737-524
2397,7.0,2.0,737-524
2414,7.0,1.0,737-524
2420,7.0,70.0,737-524
2421,7.0,67.0,737-524
2422,7.0,3.0,737-524
2423,7.0,337.0,737-524
2424,7.0,1.0,737-524
2425,7.0,8.0,737-524
2426,7.0,38.0,737-524
2427,7.0,14.0,737-524
2431,7.0,20.0,737-524
2432,7.0,36.0,737-524
2437,7.0,19.0,737-524
2438,7.0,27.0,737-524
2447,7.0,213.0,737-524
2448,7.0,48.0,737-524
2450,7.0,9.0,737-524
2453,7.0,45.0,737-524
