,tailnum,Distance,CRSElapsedTime,aircraft_type,engine_type,model,manufacturer
393,N16911,481.45030190431953,101.03588016720855,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
394,N16918,484.6361951106477,101.53609083536091,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
395,N16919,479.43894313612867,101.05215393452039,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
396,N16927,311.0211939985311,78.39282341831917,Fixed Wing Multi-Engine,Turbo-Jet,EMB-145EP,EMBRAER
397,N16944,308.5599707204852,79.17337655547422,Fixed Wing Multi-Engine,Turbo-Jet,EMB-145EP,EMBRAER
398,N16951,476.46824633148907,100.42807312966082,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
399,N16954,478.70185163344735,100.70338483311711,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
400,N16961,488.1275143678161,101.66954022988506,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
401,N16963,481.26827562084645,101.23493062842486,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
402,N16976,483.60717647058823,101.34823529411764,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
403,N16981,485.1303469581749,101.87749524714829,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
404,N16987,486.05079605761944,102.25296942127875,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
405,N16999,484.9995280235988,101.4679646017699,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
406,N169AT,955.2532357906584,156.1780153817295,Fixed Wing Multi-Engine,Turbo-Fan,737-76N,BOEING
407,N169DZ,1549.1736237144585,228.93829401088928,Fixed Wing Multi-Engine,Turbo-Fan,767-332,BOEING
408,N169UW,1267.9111629822876,191.85418096938076,Fixed Wing Multi-Engine,Turbo-Jet,A321-211,AIRBUS INDUSTRIE
409,N170US,1382.7123711340207,208.01443298969073,Fixed Wing Multi-Engine,Turbo-Jet,A321-211,AIRBUS INDUSTRIE
410,N17104,1525.3034806413766,223.70355885803676,Fixed Wing Multi-Engine,Turbo-Jet,757-224,BOEING
411,N17105,1521.4676709380808,223.43940134989728,Fixed Wing Multi-Engine,Turbo-Jet,757-224,BOEING
412,N17108,789.0979355904211,139.45400495458298,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
413,N17115,768.5967105263157,137.04243421052632,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
414,N17122,1418.1651785714287,211.37572674418604,Fixed Wing Multi-Engine,Turbo-Jet,757-224,BOEING
415,N17126,1326.8150976464697,200.49298948422634,Fixed Wing Multi-Engine,Turbo-Jet,757-224,BOEING
416,N17128,1335.7930824008138,205.5591047812818,Fixed Wing Multi-Engine,Turbo-Jet,757-224,BOEING
417,N17133,1409.2769883351007,214.94464475079533,Fixed Wing Multi-Engine,Turbo-Jet,757-224,BOEING
418,N17138,773.6131297173952,137.83464981569247,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
419,N17139,1254.86597645724,192.24748262657778,Fixed Wing Multi-Engine,Turbo-Jet,757-224,BOEING
420,N17146,781.2497181510711,138.92183389703118,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
421,N17156,366.6178298279159,88.30712237093691,Fixed Wing Multi-Engine,Turbo-Jet,CL-600-2B19,CANADAIR
422,N17159,777.1950841452613,138.80447298494244,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
423,N17169,776.08642578125,136.52880859375,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
424,N17175,355.92528352234825,87.20658216588836,Fixed Wing Multi-Engine,Turbo-Jet,CL-600-2B19,CANADAIR
425,N17185,801.2529741077676,138.76452064380686,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
426,N17196,805.7448979591836,140.02456538170824,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
427,N171DN,1523.9715206878022,225.65824825362708,Fixed Wing Multi-Engine,Turbo-Fan,767-332,BOEING
428,N171DZ,973.3398692810457,156.45074272133095,Fixed Wing Multi-Engine,Turbo-Fan,767-332,BOEING
429,N171US,1390.9817596566525,208.7049356223176,Fixed Wing Multi-Engine,Turbo-Jet,A321-211,AIRBUS INDUSTRIE
430,N17229,1304.3826896464964,198.3567744370361,Fixed Wing Multi-Engine,Turbo-Fan,737-824,BOEING
431,N17231,514.4933859364122,101.71478301229983,Fixed Wing Multi-Engine,Turbo-Jet,CL-600-2B19,CANADAIR
432,N17233,1306.6273689713762,198.72761730492746,Fixed Wing Multi-Engine,Turbo-Fan,737-824,BOEING
433,N17244,1298.1053259141495,197.49721780604133,Fixed Wing Multi-Engine,Turbo-Fan,737-824,BOEING
434,N17245,1291.1304521808725,196.74403094571161,Fixed Wing Multi-Engine,Turbo-Fan,737-824,BOEING
435,N17275,504.91607429488647,100.2719559734006,Fixed Wing Multi-Engine,Turbo-Fan,CL-600-2B19,BOMBARDIER INC
436,N172DN,1496.9689409368636,222.85183299389,Fixed Wing Multi-Engine,Turbo-Fan,767-332,BOEING
437,N172DZ,972.178724389397,156.3704132422734,Fixed Wing Multi-Engine,Turbo-Fan,767-332,BOEING
438,N172US,1343.3094983991462,203.22518676627536,Fixed Wing Multi-Engine,Turbo-Jet,A321-211,AIRBUS INDUSTRIE
439,N17321,1010.2375353799259,165.14210029755424,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
440,N17326,821.6635573265713,140.69018293787357,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
441,N17328,845.6021740664926,144.3548387096774,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
442,N17329,850.6655791190865,145.20704730831974,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
443,N17337,511.8546798029557,101.63793103448276,Fixed Wing Multi-Engine,Turbo-Fan,CL-600-2B19,BOMBARDIER INC
444,N17344,1014.5887166236004,165.49074074074073,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
445,N17345,1010.3698849348472,165.0583707993599,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
446,N17356,839.3666572994239,143.8317409020655,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
447,N17358,513.5434362934363,101.65830115830116,Fixed Wing Multi-Engine,Turbo-Fan,CL-600-2B19,BOMBARDIER INC
448,N173AT,940.2396852811361,154.20399155632316,Fixed Wing Multi-Engine,Turbo-Fan,737-76N,BOEING
449,N173DN,1498.5996978851963,222.82175226586102,Fixed Wing Multi-Engine,Turbo-Fan,767-332,BOEING
450,N173DZ,968.7055322128851,156.03991596638656,Fixed Wing Multi-Engine,Turbo-Fan,767-332,BOEING
451,N173UA,1588.5891980360066,221.96890343698854,Fixed Wing Multi-Engine,Turbo-Fan,747-422,BOEING
452,N173US,1289.227,196.814,Fixed Wing Multi-Engine,Turbo-Jet,A321-211,AIRBUS INDUSTRIE
453,N174AT,929.350390625,152.93125,Fixed Wing Multi-Engine,Turbo-Fan,737-76N,BOEING
454,N174DN,1470.535792951542,219.86453744493392,Fixed Wing Multi-Engine,Turbo-Fan,767-332,BOEING
