,UniqueCarrier,Origin,Dest,Route,count,Description,lat1,long1,lat2,long2
51,XE,CLE,DTW,CLEDTW,3122,Expressjet Airlines Inc.,41.41089417,-81.84939667,42.21205889,-83.34883583
52,9E,CLT,DTW,CLTDTW,11,Pinnacle Airlines Inc.,35.21401111,-80.94312583,42.21205889,-83.34883583
53,NW,CLT,DTW,CLTDTW,17256,Northwest Airlines Inc.,35.21401111,-80.94312583,42.21205889,-83.34883583
54,US,CLT,DTW,CLTDTW,13580,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),35.21401111,-80.94312583,42.21205889,-83.34883583
55,YV,CLT,DTW,CLTDTW,1566,Mesa Airlines Inc.,35.21401111,-80.94312583,42.21205889,-83.34883583
56,9E,CMH,DTW,CMHDTW,1294,Pinnacle Airlines Inc.,39.99798528,-82.89188278,42.21205889,-83.34883583
57,HP,CMH,DTW,CMHDTW,247,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),39.99798528,-82.89188278,42.21205889,-83.34883583
58,NW,CMH,DTW,CMHDTW,20326,Northwest Airlines Inc.,39.99798528,-82.89188278,42.21205889,-83.34883583
59,NW,COS,DTW,COSDTW,727,Northwest Airlines Inc.,38.80580556,-104.70025,42.21205889,-83.34883583
60,9E,CVG,DTW,CVGDTW,1952,Pinnacle Airlines Inc.,39.04614278,-84.6621725,42.21205889,-83.34883583
61,DL,CVG,DTW,CVGDTW,3307,Delta Air Lines Inc.,39.04614278,-84.6621725,42.21205889,-83.34883583
62,EV,CVG,DTW,CVGDTW,359,Atlantic Southeast Airlines,39.04614278,-84.6621725,42.21205889,-83.34883583
63,NW,CVG,DTW,CVGDTW,3450,Northwest Airlines Inc.,39.04614278,-84.6621725,42.21205889,-83.34883583
64,OH,CVG,DTW,CVGDTW,9808,Comair Inc.,39.04614278,-84.6621725,42.21205889,-83.34883583
65,9E,CWA,DTW,CWADTW,524,Pinnacle Airlines Inc.,44.77761917,-89.66677944,42.21205889,-83.34883583
66,9E,DAY,DTW,DAYDTW,1006,Pinnacle Airlines Inc.,39.90237583,-84.219375,42.21205889,-83.34883583
67,NW,DAY,DTW,DAYDTW,2488,Northwest Airlines Inc.,39.90237583,-84.219375,42.21205889,-83.34883583
68,NW,DCA,DTW,DCADTW,34513,Northwest Airlines Inc.,38.85208333,-77.03772222,42.21205889,-83.34883583
69,US,DCA,DTW,DCADTW,301,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),38.85208333,-77.03772222,42.21205889,-83.34883583
70,F9,DEN,DTW,DENDTW,2627,Frontier Airlines Inc.,39.85840806,-104.6670019,42.21205889,-83.34883583
71,NW,DEN,DTW,DENDTW,13514,Northwest Airlines Inc.,39.85840806,-104.6670019,42.21205889,-83.34883583
72,OO,DEN,DTW,DENDTW,482,Skywest Airlines Inc.,39.85840806,-104.6670019,42.21205889,-83.34883583
73,UA,DEN,DTW,DENDTW,13371,United Air Lines Inc.,39.85840806,-104.6670019,42.21205889,-83.34883583
74,AA,DFW,DTW,DFWDTW,26610,American Airlines Inc.,32.89595056,-97.0372,42.21205889,-83.34883583
75,EV,DFW,DTW,DFWDTW,656,Atlantic Southeast Airlines,32.89595056,-97.0372,42.21205889,-83.34883583
76,MQ,DFW,DTW,DFWDTW,157,American Eagle Airlines Inc.,32.89595056,-97.0372,42.21205889,-83.34883583
77,NW,DFW,DTW,DFWDTW,21274,Northwest Airlines Inc.,32.89595056,-97.0372,42.21205889,-83.34883583
78,9E,DLH,DTW,DLHDTW,579,Pinnacle Airlines Inc.,46.84209028,-92.19364861,42.21205889,-83.34883583
79,NW,DLH,DTW,DLHDTW,4,Northwest Airlines Inc.,46.84209028,-92.19364861,42.21205889,-83.34883583
80,9E,DSM,DTW,DSMDTW,1300,Pinnacle Airlines Inc.,41.53493306,-93.66068222,42.21205889,-83.34883583
81,NW,DSM,DTW,DSMDTW,1741,Northwest Airlines Inc.,41.53493306,-93.66068222,42.21205889,-83.34883583
82,9E,ELM,DTW,ELMDTW,1163,Pinnacle Airlines Inc.,42.15991361,-76.89144333,42.21205889,-83.34883583
83,9E,ERI,DTW,ERIDTW,856,Pinnacle Airlines Inc.,42.08202139,-80.17621556,42.21205889,-83.34883583
84,9E,EVV,DTW,EVVDTW,1311,Pinnacle Airlines Inc.,38.03799139,-87.53062667,42.21205889,-83.34883583
85,FL,FLL,DTW,FLLDTW,203,AirTran Airways Corporation,26.07258333,-80.15275,42.21205889,-83.34883583
86,NW,FLL,DTW,FLLDTW,15059,Northwest Airlines Inc.,26.07258333,-80.15275,42.21205889,-83.34883583
87,9E,FNT,DTW,FNTDTW,390,Pinnacle Airlines Inc.,42.96550333,-83.74345639,42.21205889,-83.34883583
88,NW,FNT,DTW,FNTDTW,13632,Northwest Airlines Inc.,42.96550333,-83.74345639,42.21205889,-83.34883583
89,9E,FWA,DTW,FWADTW,1365,Pinnacle Airlines Inc.,40.97846583,-85.19514639,42.21205889,-83.34883583
90,NW,FWA,DTW,FWADTW,3804,Northwest Airlines Inc.,40.97846583,-85.19514639,42.21205889,-83.34883583
91,9E,GRB,DTW,GRBDTW,414,Pinnacle Airlines Inc.,44.48507333,-88.12959,42.21205889,-83.34883583
92,NW,GRB,DTW,GRBDTW,16460,Northwest Airlines Inc.,44.48507333,-88.12959,42.21205889,-83.34883583
93,9E,GRR,DTW,GRRDTW,495,Pinnacle Airlines Inc.,42.88081972,-85.52276778,42.21205889,-83.34883583
94,EV,GRR,DTW,GRRDTW,1,Atlantic Southeast Airlines,42.88081972,-85.52276778,42.21205889,-83.34883583
95,NW,GRR,DTW,GRRDTW,31573,Northwest Airlines Inc.,42.88081972,-85.52276778,42.21205889,-83.34883583
96,9E,GSO,DTW,GSODTW,1110,Pinnacle Airlines Inc.,36.09774694,-79.9372975,42.21205889,-83.34883583
97,NW,GSO,DTW,GSODTW,9095,Northwest Airlines Inc.,36.09774694,-79.9372975,42.21205889,-83.34883583
98,9E,GSP,DTW,GSPDTW,1204,Pinnacle Airlines Inc.,34.89566722,-82.21885833,42.21205889,-83.34883583
99,NW,GSP,DTW,GSPDTW,10688,Northwest Airlines Inc.,34.89566722,-82.21885833,42.21205889,-83.34883583
100,NW,HOU,DTW,HOUDTW,4429,Northwest Airlines Inc.,29.64541861,-95.27888889,42.21205889,-83.34883583
101,9E,HPN,DTW,HPNDTW,893,Pinnacle Airlines Inc.,41.06695778,-73.70757444,42.21205889,-83.34883583
102,NW,HPN,DTW,HPNDTW,7071,Northwest Airlines Inc.,41.06695778,-73.70757444,42.21205889,-83.34883583
103,9E,HSV,DTW,HSVDTW,661,Pinnacle Airlines Inc.,34.6404475,-86.77310944,42.21205889,-83.34883583
104,9E,IAD,DTW,IADDTW,153,Pinnacle Airlines Inc.,38.94453194,-77.45580972,42.21205889,-83.34883583
105,DH,IAD,DTW,IADDTW,5094,Independence Air,38.94453194,-77.45580972,42.21205889,-83.34883583
106,NW,IAD,DTW,IADDTW,17933,Northwest Airlines Inc.,38.94453194,-77.45580972,42.21205889,-83.34883583
107,UA,IAD,DTW,IADDTW,1866,United Air Lines Inc.,38.94453194,-77.45580972,42.21205889,-83.34883583
108,YV,IAD,DTW,IADDTW,2767,Mesa Airlines Inc.,38.94453194,-77.45580972,42.21205889,-83.34883583
109,CO,IAH,DTW,IAHDTW,20773,Continental Air Lines Inc.,29.98047222,-95.33972222,42.21205889,-83.34883583
110,NW,IAH,DTW,IAHDTW,12871,Northwest Airlines Inc.,29.98047222,-95.33972222,42.21205889,-83.34883583
111,XE,IAH,DTW,IAHDTW,108,Expressjet Airlines Inc.,29.98047222,-95.33972222,42.21205889,-83.34883583
112,9E,IND,DTW,INDDTW,397,Pinnacle Airlines Inc.,39.71732917,-86.29438417,42.21205889,-83.34883583
113,NW,IND,DTW,INDDTW,32329,Northwest Airlines Inc.,39.71732917,-86.29438417,42.21205889,-83.34883583
114,9E,JAN,DTW,JANDTW,643,Pinnacle Airlines Inc.,32.31116667,-90.07588889,42.21205889,-83.34883583
115,NW,JAX,DTW,JAXDTW,12373,Northwest Airlines Inc.,30.49405556,-81.68786111,42.21205889,-83.34883583
116,9E,LAN,DTW,LANDTW,721,Pinnacle Airlines Inc.,42.7787,-84.58735806,42.21205889,-83.34883583
117,NW,LAN,DTW,LANDTW,20599,Northwest Airlines Inc.,42.7787,-84.58735806,42.21205889,-83.34883583
118,9E,LEX,DTW,LEXDTW,1597,Pinnacle Airlines Inc.,38.03697222,-84.60538889,42.21205889,-83.34883583
119,NW,LEX,DTW,LEXDTW,574,Northwest Airlines Inc.,38.03697222,-84.60538889,42.21205889,-83.34883583
120,9E,LGA,DTW,LGADTW,48,Pinnacle Airlines Inc.,40.77724306,-73.87260917,42.21205889,-83.34883583
121,MQ,LGA,DTW,LGADTW,10592,American Eagle Airlines Inc.,40.77724306,-73.87260917,42.21205889,-83.34883583
122,NW,LGA,DTW,LGADTW,35077,Northwest Airlines Inc.,40.77724306,-73.87260917,42.21205889,-83.34883583
123,9E,LIT,DTW,LITDTW,354,Pinnacle Airlines Inc.,34.72939611,-92.22424556,42.21205889,-83.34883583
124,9E,LNK,DTW,LNKDTW,351,Pinnacle Airlines Inc.,40.85097222,-96.75925,42.21205889,-83.34883583
125,9E,MBS,DTW,MBSDTW,856,Pinnacle Airlines Inc.,43.53291472,-84.07964722,42.21205889,-83.34883583
126,NW,MBS,DTW,MBSDTW,21583,Northwest Airlines Inc.,43.53291472,-84.07964722,42.21205889,-83.34883583
127,9E,MCI,DTW,MCIDTW,166,Pinnacle Airlines Inc.,39.29760528,-94.71390556,42.21205889,-83.34883583
128,NW,MCI,DTW,MCIDTW,17958,Northwest Airlines Inc.,39.29760528,-94.71390556,42.21205889,-83.34883583
129,TW,MCI,DTW,MCIDTW,1,Trans World Airways LLC,39.29760528,-94.71390556,42.21205889,-83.34883583
130,9E,MDT,DTW,MDTDTW,833,Pinnacle Airlines Inc.,40.19349528,-76.76340361,42.21205889,-83.34883583
131,NW,MDT,DTW,MDTDTW,10951,Northwest Airlines Inc.,40.19349528,-76.76340361,42.21205889,-83.34883583
132,9E,MDW,DTW,MDWDTW,6,Pinnacle Airlines Inc.,41.7859825,-87.75242444,42.21205889,-83.34883583
133,NW,MDW,DTW,MDWDTW,19394,Northwest Airlines Inc.,41.7859825,-87.75242444,42.21205889,-83.34883583
134,WN,MDW,DTW,MDWDTW,38950,Southwest Airlines Co.,41.7859825,-87.75242444,42.21205889,-83.34883583
135,9E,MEM,DTW,MEMDTW,150,Pinnacle Airlines Inc.,35.04241667,-89.97666667,42.21205889,-83.34883583
136,NW,MEM,DTW,MEMDTW,32517,Northwest Airlines Inc.,35.04241667,-89.97666667,42.21205889,-83.34883583
137,9E,MHT,DTW,MHTDTW,50,Pinnacle Airlines Inc.,42.93451639,-71.43705583,42.21205889,-83.34883583
138,NW,MHT,DTW,MHTDTW,13053,Northwest Airlines Inc.,42.93451639,-71.43705583,42.21205889,-83.34883583
139,NW,MKE,DTW,MKEDTW,27696,Northwest Airlines Inc.,42.94722222,-87.89658333,42.21205889,-83.34883583
140,9E,MLI,DTW,MLIDTW,1001,Pinnacle Airlines Inc.,41.44852639,-90.50753917,42.21205889,-83.34883583
141,9E,MSN,DTW,MSNDTW,32,Pinnacle Airlines Inc.,43.13985778,-89.33751361,42.21205889,-83.34883583
142,NW,MSN,DTW,MSNDTW,20197,Northwest Airlines Inc.,43.13985778,-89.33751361,42.21205889,-83.34883583
143,9E,MSP,DTW,MSPDTW,1,Pinnacle Airlines Inc.,44.88054694,-93.2169225,42.21205889,-83.34883583
144,NW,MSP,DTW,MSPDTW,63952,Northwest Airlines Inc.,44.88054694,-93.2169225,42.21205889,-83.34883583
145,9E,MYR,DTW,MYRDTW,101,Pinnacle Airlines Inc.,33.67975,-78.92833333,42.21205889,-83.34883583
146,NW,MYR,DTW,MYRDTW,1178,Northwest Airlines Inc.,33.67975,-78.92833333,42.21205889,-83.34883583
147,9E,OKC,DTW,OKCDTW,694,Pinnacle Airlines Inc.,35.39308833,-97.60073389,42.21205889,-83.34883583
148,NW,OKC,DTW,OKCDTW,298,Northwest Airlines Inc.,35.39308833,-97.60073389,42.21205889,-83.34883583
