,UniqueCarrier,Origin,Dest,Route,count,Description,lat1,long1,lat2,long2
3300,WN,SLC,PHL,SLCPHL,10,Southwest Airlines Co.,40.78838778,-111.9777731,39.87195278,-75.24114083
3301,US,SRQ,PHL,SRQPHL,525,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),27.39533333,-82.55411111,39.87195278,-75.24114083
3302,AA,STL,PHL,STLPHL,3146,American Airlines Inc.,38.74768694,-90.35998972,39.87195278,-75.24114083
3303,TW,STL,PHL,STLPHL,11922,Trans World Airways LLC,38.74768694,-90.35998972,39.87195278,-75.24114083
3304,US,STL,PHL,STLPHL,2051,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),38.74768694,-90.35998972,39.87195278,-75.24114083
3305,US,EGE,PHL,EGEPHL,66,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),39.64256778,-106.9176953,39.87195278,-75.24114083
3306,AA,EWR,PHL,EWRPHL,4,American Airlines Inc.,40.69249722,-74.16866056,39.87195278,-75.24114083
3307,CO,EWR,PHL,EWRPHL,1,Continental Air Lines Inc.,40.69249722,-74.16866056,39.87195278,-75.24114083
3308,XE,EWR,PHL,EWRPHL,1583,Expressjet Airlines Inc.,40.69249722,-74.16866056,39.87195278,-75.24114083
3309,DH,JFK,PHL,JFKPHL,420,Independence Air,40.63975111,-73.77892556,39.87195278,-75.24114083
3310,DL,JFK,PHL,JFKPHL,1079,Delta Air Lines Inc.,40.63975111,-73.77892556,39.87195278,-75.24114083
3311,OH,JFK,PHL,JFKPHL,700,Comair Inc.,40.63975111,-73.77892556,39.87195278,-75.24114083
3312,TW,JFK,PHL,JFKPHL,24,Trans World Airways LLC,40.63975111,-73.77892556,39.87195278,-75.24114083
3313,UA,JFK,PHL,JFKPHL,137,United Air Lines Inc.,40.63975111,-73.77892556,39.87195278,-75.24114083
3314,HP,LAS,PHL,LASPHL,6068,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),36.08036111,-115.1523333,39.87195278,-75.24114083
3315,US,LAS,PHL,LASPHL,14738,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),36.08036111,-115.1523333,39.87195278,-75.24114083
3316,WN,LAS,PHL,LASPHL,1982,Southwest Airlines Co.,36.08036111,-115.1523333,39.87195278,-75.24114083
3317,UA,LAX,PHL,LAXPHL,12369,United Air Lines Inc.,33.94253611,-118.4080744,39.87195278,-75.24114083
3318,US,LAX,PHL,LAXPHL,17911,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),33.94253611,-118.4080744,39.87195278,-75.24114083
3319,WN,LAX,PHL,LAXPHL,2226,Southwest Airlines Co.,33.94253611,-118.4080744,39.87195278,-75.24114083
3320,DL,MCO,PHL,MCOPHL,2349,Delta Air Lines Inc.,28.42888889,-81.31602778,39.87195278,-75.24114083
3321,FL,MCO,PHL,MCOPHL,7077,AirTran Airways Corporation,28.42888889,-81.31602778,39.87195278,-75.24114083
3322,US,MCO,PHL,MCOPHL,38189,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),28.42888889,-81.31602778,39.87195278,-75.24114083
3323,WN,MCO,PHL,MCOPHL,7461,Southwest Airlines Co.,28.42888889,-81.31602778,39.87195278,-75.24114083
3324,AA,MIA,PHL,MIAPHL,13056,American Airlines Inc.,25.79325,-80.29055556,39.87195278,-75.24114083
3325,UA,MIA,PHL,MIAPHL,1,United Air Lines Inc.,25.79325,-80.29055556,39.87195278,-75.24114083
3326,US,MIA,PHL,MIAPHL,15116,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),25.79325,-80.29055556,39.87195278,-75.24114083
3327,FL,MSY,PHL,MSYPHL,2,AirTran Airways Corporation,29.99338889,-90.25802778,39.87195278,-75.24114083
3328,US,MSY,PHL,MSYPHL,10006,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),29.99338889,-90.25802778,39.87195278,-75.24114083
3329,WN,MSY,PHL,MSYPHL,414,Southwest Airlines Co.,29.99338889,-90.25802778,39.87195278,-75.24114083
3330,WN,OAK,PHL,OAKPHL,1064,Southwest Airlines Co.,37.72129083,-122.2207167,39.87195278,-75.24114083
3331,AA,ORD,PHL,ORDPHL,34833,American Airlines Inc.,41.979595,-87.90446417,39.87195278,-75.24114083
3332,MQ,ORD,PHL,ORDPHL,480,American Eagle Airlines Inc.,41.979595,-87.90446417,39.87195278,-75.24114083
3333,UA,ORD,PHL,ORDPHL,43042,United Air Lines Inc.,41.979595,-87.90446417,39.87195278,-75.24114083
3334,US,ORD,PHL,ORDPHL,24933,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),41.979595,-87.90446417,39.87195278,-75.24114083
3335,FL,PBI,PHL,PBIPHL,342,AirTran Airways Corporation,26.68316194,-80.09559417,39.87195278,-75.24114083
3336,US,PBI,PHL,PBIPHL,15960,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),26.68316194,-80.09559417,39.87195278,-75.24114083
3337,WN,PBI,PHL,PBIPHL,1550,Southwest Airlines Co.,26.68316194,-80.09559417,39.87195278,-75.24114083
3338,US,PDX,PHL,PDXPHL,480,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),45.58872222,-122.5975,39.87195278,-75.24114083
3339,HP,PHX,PHL,PHXPHL,9749,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),33.43416667,-112.0080556,39.87195278,-75.24114083
3340,US,PHX,PHL,PHXPHL,14645,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),33.43416667,-112.0080556,39.87195278,-75.24114083
3341,WN,PHX,PHL,PHXPHL,2012,Southwest Airlines Co.,33.43416667,-112.0080556,39.87195278,-75.24114083
3342,US,PVD,PHL,PVDPHL,21156,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),41.72399917,-71.42822111,39.87195278,-75.24114083
3343,WN,PVD,PHL,PVDPHL,6736,Southwest Airlines Co.,41.72399917,-71.42822111,39.87195278,-75.24114083
3344,US,SAN,PHL,SANPHL,8277,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),32.73355611,-117.1896567,39.87195278,-75.24114083
3345,WN,SAN,PHL,SANPHL,18,Southwest Airlines Co.,32.73355611,-117.1896567,39.87195278,-75.24114083
3346,US,SEA,PHL,SEAPHL,9601,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),47.44898194,-122.3093131,39.87195278,-75.24114083
3347,UA,SFO,PHL,SFOPHL,11710,United Air Lines Inc.,37.61900194,-122.3748433,39.87195278,-75.24114083
3348,US,SFO,PHL,SFOPHL,15588,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),37.61900194,-122.3748433,39.87195278,-75.24114083
3349,AA,SJU,PHL,SJUPHL,8659,American Airlines Inc.,18.43941667,-66.00183333,39.87195278,-75.24114083
3350,US,SJU,PHL,SJUPHL,11372,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),18.43941667,-66.00183333,39.87195278,-75.24114083
3351,US,SNA,PHL,SNAPHL,90,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),33.67565861,-117.8682225,39.87195278,-75.24114083
3352,US,STT,PHL,STTPHL,1267,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),18.33730556,-64.97336111,39.87195278,-75.24114083
3353,US,STX,PHL,STXPHL,1800,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),17.70188889,-64.79855556,39.87195278,-75.24114083
3354,US,SYR,PHL,SYRPHL,13000,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),43.11118694,-76.10631056,39.87195278,-75.24114083
3355,FL,TPA,PHL,TPAPHL,2287,AirTran Airways Corporation,27.97547222,-82.53325,39.87195278,-75.24114083
3356,US,TPA,PHL,TPAPHL,29009,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),27.97547222,-82.53325,39.87195278,-75.24114083
3357,WN,TPA,PHL,TPAPHL,3677,Southwest Airlines Co.,27.97547222,-82.53325,39.87195278,-75.24114083
3358,CO,LFT,PHL,LFTPHL,3,Continental Air Lines Inc.,30.20527972,-91.987655,39.87195278,-75.24114083
3359,YV,PHF,PHL,PHFPHL,58,Mesa Airlines Inc.,37.13189556,-76.4929875,39.87195278,-75.24114083
3360,US,ABE,PIT,ABEPIT,9213,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),40.65236278,-75.44040167,40.49146583,-80.23287083
3361,US,ALB,PIT,ALBPIT,12177,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),42.74811944,-73.80297861,40.49146583,-80.23287083
3362,DL,ATL,PIT,ATLPIT,25958,Delta Air Lines Inc.,33.64044444,-84.42694444,40.49146583,-80.23287083
3363,EV,ATL,PIT,ATLPIT,2416,Atlantic Southeast Airlines,33.64044444,-84.42694444,40.49146583,-80.23287083
3364,FL,ATL,PIT,ATLPIT,7592,AirTran Airways Corporation,33.64044444,-84.42694444,40.49146583,-80.23287083
3365,OH,ATL,PIT,ATLPIT,420,Comair Inc.,33.64044444,-84.42694444,40.49146583,-80.23287083
3366,OO,ATL,PIT,ATLPIT,462,Skywest Airlines Inc.,33.64044444,-84.42694444,40.49146583,-80.23287083
3367,US,ATL,PIT,ATLPIT,13128,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),33.64044444,-84.42694444,40.49146583,-80.23287083
3368,US,AUS,PIT,AUSPIT,789,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),30.19453278,-97.66987194,40.49146583,-80.23287083
3369,US,AVP,PIT,AVPPIT,8693,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),41.33814944,-75.7242675,40.49146583,-80.23287083
3370,US,BDL,PIT,BDLPIT,14927,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),41.93887417,-72.68322833,40.49146583,-80.23287083
3371,US,BGM,PIT,BGMPIT,5332,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),42.20848278,-75.97961361,40.49146583,-80.23287083
3372,US,BGR,PIT,BGRPIT,82,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),44.80744444,-68.82813889,40.49146583,-80.23287083
3373,US,BHM,PIT,BHMPIT,720,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),33.56294306,-86.75354972,40.49146583,-80.23287083
3374,US,BNA,PIT,BNAPIT,10402,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),36.12447667,-86.67818222,40.49146583,-80.23287083
3375,B6,BOS,PIT,BOSPIT,982,JetBlue Airways,42.3643475,-71.00517917,40.49146583,-80.23287083
3376,MQ,BOS,PIT,BOSPIT,336,American Eagle Airlines Inc.,42.3643475,-71.00517917,40.49146583,-80.23287083
3377,US,BOS,PIT,BOSPIT,26675,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),42.3643475,-71.00517917,40.49146583,-80.23287083
3378,US,BTV,PIT,BTVPIT,5422,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),44.47300361,-73.1503125,40.49146583,-80.23287083
3379,US,BUF,PIT,BUFPIT,11830,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),42.94052472,-78.73216667,40.49146583,-80.23287083
3380,US,BWI,PIT,BWIPIT,20464,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),39.17540167,-76.66819833,40.49146583,-80.23287083
3381,WN,BWI,PIT,BWIPIT,884,Southwest Airlines Co.,39.17540167,-76.66819833,40.49146583,-80.23287083
3382,OH,CAK,PIT,CAKPIT,1,Comair Inc.,40.91631194,-81.44246556,40.49146583,-80.23287083
3383,US,CAK,PIT,CAKPIT,5806,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),40.91631194,-81.44246556,40.49146583,-80.23287083
3384,US,CLE,PIT,CLEPIT,4815,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),41.41089417,-81.84939667,40.49146583,-80.23287083
3385,US,CLT,PIT,CLTPIT,39859,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),35.21401111,-80.94312583,40.49146583,-80.23287083
3386,YV,CLT,PIT,CLTPIT,23,Mesa Airlines Inc.,35.21401111,-80.94312583,40.49146583,-80.23287083
3387,AA,CMH,PIT,CMHPIT,1,American Airlines Inc.,39.99798528,-82.89188278,40.49146583,-80.23287083
3388,US,CMH,PIT,CMHPIT,10797,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),39.99798528,-82.89188278,40.49146583,-80.23287083
3389,DH,CVG,PIT,CVGPIT,1815,Independence Air,39.04614278,-84.6621725,40.49146583,-80.23287083
3390,DL,CVG,PIT,CVGPIT,6904,Delta Air Lines Inc.,39.04614278,-84.6621725,40.49146583,-80.23287083
3391,EV,CVG,PIT,CVGPIT,682,Atlantic Southeast Airlines,39.04614278,-84.6621725,40.49146583,-80.23287083
3392,OH,CVG,PIT,CVGPIT,6109,Comair Inc.,39.04614278,-84.6621725,40.49146583,-80.23287083
3393,US,CVG,PIT,CVGPIT,1759,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),39.04614278,-84.6621725,40.49146583,-80.23287083
3394,US,DAY,PIT,DAYPIT,8036,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),39.90237583,-84.219375,40.49146583,-80.23287083
3395,US,DCA,PIT,DCAPIT,21142,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),38.85208333,-77.03772222,40.49146583,-80.23287083
3396,OO,DEN,PIT,DENPIT,88,Skywest Airlines Inc.,39.85840806,-104.6670019,40.49146583,-80.23287083
3397,UA,DEN,PIT,DENPIT,2331,United Air Lines Inc.,39.85840806,-104.6670019,40.49146583,-80.23287083
3398,US,DEN,PIT,DENPIT,12369,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),39.85840806,-104.6670019,40.49146583,-80.23287083
3399,AA,DFW,PIT,DFWPIT,11796,American Airlines Inc.,32.89595056,-97.0372,40.49146583,-80.23287083
3400,MQ,DFW,PIT,DFWPIT,4270,American Eagle Airlines Inc.,32.89595056,-97.0372,40.49146583,-80.23287083
3401,US,DFW,PIT,DFWPIT,12188,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),32.89595056,-97.0372,40.49146583,-80.23287083
3402,9E,DTW,PIT,DTWPIT,879,Pinnacle Airlines Inc.,42.21205889,-83.34883583,40.49146583,-80.23287083
3403,NW,DTW,PIT,DTWPIT,14241,Northwest Airlines Inc.,42.21205889,-83.34883583,40.49146583,-80.23287083
3404,US,DTW,PIT,DTWPIT,9915,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),42.21205889,-83.34883583,40.49146583,-80.23287083
3405,US,ELM,PIT,ELMPIT,5545,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),42.15991361,-76.89144333,40.49146583,-80.23287083
3406,US,ERI,PIT,ERIPIT,8227,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),42.08202139,-80.17621556,40.49146583,-80.23287083
3407,FL,FLL,PIT,FLLPIT,92,AirTran Airways Corporation,26.07258333,-80.15275,40.49146583,-80.23287083
3408,US,FLL,PIT,FLLPIT,11864,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),26.07258333,-80.15275,40.49146583,-80.23287083
3409,US,FWA,PIT,FWAPIT,19,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),40.97846583,-85.19514639,40.49146583,-80.23287083
3410,US,GRR,PIT,GRRPIT,6701,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),42.88081972,-85.52276778,40.49146583,-80.23287083
3411,US,GSO,PIT,GSOPIT,6373,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),36.09774694,-79.9372975,40.49146583,-80.23287083
3412,US,HPN,PIT,HPNPIT,4055,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),41.06695778,-73.70757444,40.49146583,-80.23287083
3413,DH,IAD,PIT,IADPIT,5597,Independence Air,38.94453194,-77.45580972,40.49146583,-80.23287083
3414,US,IAD,PIT,IADPIT,3193,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),38.94453194,-77.45580972,40.49146583,-80.23287083
3415,YV,IAD,PIT,IADPIT,3116,Mesa Airlines Inc.,38.94453194,-77.45580972,40.49146583,-80.23287083
3416,CO,IAH,PIT,IAHPIT,8758,Continental Air Lines Inc.,29.98047222,-95.33972222,40.49146583,-80.23287083
3417,US,IAH,PIT,IAHPIT,10713,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),29.98047222,-95.33972222,40.49146583,-80.23287083
3418,XE,IAH,PIT,IAHPIT,5011,Expressjet Airlines Inc.,29.98047222,-95.33972222,40.49146583,-80.23287083
3419,US,IND,PIT,INDPIT,14217,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),39.71732917,-86.29438417,40.49146583,-80.23287083
3420,US,JAX,PIT,JAXPIT,809,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),30.49405556,-81.68786111,40.49146583,-80.23287083
3421,US,LEX,PIT,LEXPIT,5778,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),38.03697222,-84.60538889,40.49146583,-80.23287083
3422,MQ,LGA,PIT,LGAPIT,2039,American Eagle Airlines Inc.,40.77724306,-73.87260917,40.49146583,-80.23287083
3423,US,LGA,PIT,LGAPIT,30913,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),40.77724306,-73.87260917,40.49146583,-80.23287083
3424,OO,MCI,PIT,MCIPIT,382,Skywest Airlines Inc.,39.29760528,-94.71390556,40.49146583,-80.23287083
3425,US,MCI,PIT,MCIPIT,11020,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),39.29760528,-94.71390556,40.49146583,-80.23287083
3426,US,MDT,PIT,MDTPIT,11197,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),40.19349528,-76.76340361,40.49146583,-80.23287083
3427,TZ,MDW,PIT,MDWPIT,1775,ATA Airlines d/b/a ATA,41.7859825,-87.75242444,40.49146583,-80.23287083
3428,WN,MDW,PIT,MDWPIT,5266,Southwest Airlines Co.,41.7859825,-87.75242444,40.49146583,-80.23287083
3429,9E,MEM,PIT,MEMPIT,965,Pinnacle Airlines Inc.,35.04241667,-89.97666667,40.49146583,-80.23287083
3430,NW,MEM,PIT,MEMPIT,1,Northwest Airlines Inc.,35.04241667,-89.97666667,40.49146583,-80.23287083
3431,US,MEM,PIT,MEMPIT,606,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),35.04241667,-89.97666667,40.49146583,-80.23287083
3432,US,MHT,PIT,MHTPIT,9533,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),42.93451639,-71.43705583,40.49146583,-80.23287083
3433,OO,MKE,PIT,MKEPIT,739,Skywest Airlines Inc.,42.94722222,-87.89658333,40.49146583,-80.23287083
3434,US,MKE,PIT,MKEPIT,9796,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),42.94722222,-87.89658333,40.49146583,-80.23287083
3435,9E,MSP,PIT,MSPPIT,789,Pinnacle Airlines Inc.,44.88054694,-93.2169225,40.49146583,-80.23287083
3436,NW,MSP,PIT,MSPPIT,10609,Northwest Airlines Inc.,44.88054694,-93.2169225,40.49146583,-80.23287083
3437,US,MSP,PIT,MSPPIT,7554,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),44.88054694,-93.2169225,40.49146583,-80.23287083
3438,US,MYR,PIT,MYRPIT,360,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),33.67975,-78.92833333,40.49146583,-80.23287083
3439,US,ORF,PIT,ORFPIT,8766,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),36.89461111,-76.20122222,40.49146583,-80.23287083
3440,US,PHL,PIT,PHLPIT,39446,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),39.87195278,-75.24114083,40.49146583,-80.23287083
3441,WN,PHL,PIT,PHLPIT,5867,Southwest Airlines Co.,39.87195278,-75.24114083,40.49146583,-80.23287083
3442,US,PWM,PIT,PWMPIT,7447,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),43.64616667,-70.30875,40.49146583,-80.23287083
3443,US,RDU,PIT,RDUPIT,10971,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),35.87763889,-78.78747222,40.49146583,-80.23287083
3444,US,RIC,PIT,RICPIT,7872,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),37.50516667,-77.31966667,40.49146583,-80.23287083
3445,US,ROA,PIT,ROAPIT,5849,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),37.32546833,-79.97542833,40.49146583,-80.23287083
3446,US,ROC,PIT,ROCPIT,10437,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),43.11886611,-77.67238389,40.49146583,-80.23287083
3447,US,RSW,PIT,RSWPIT,6122,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),26.53616667,-81.75516667,40.49146583,-80.23287083
3448,US,SBN,PIT,SBNPIT,7280,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),41.70895361,-86.31847417,40.49146583,-80.23287083
3449,US,SDF,PIT,SDFPIT,9098,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),38.17438889,-85.736,40.49146583,-80.23287083
3450,DL,SLC,PIT,SLCPIT,172,Delta Air Lines Inc.,40.78838778,-111.9777731,40.49146583,-80.23287083
3451,OO,SLC,PIT,SLCPIT,131,Skywest Airlines Inc.,40.78838778,-111.9777731,40.49146583,-80.23287083
3452,US,SRQ,PIT,SRQPIT,332,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),27.39533333,-82.55411111,40.49146583,-80.23287083
3453,AA,STL,PIT,STLPIT,76,American Airlines Inc.,38.74768694,-90.35998972,40.49146583,-80.23287083
3454,TW,STL,PIT,STLPIT,11418,Trans World Airways LLC,38.74768694,-90.35998972,40.49146583,-80.23287083
3455,US,STL,PIT,STLPIT,7621,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),38.74768694,-90.35998972,40.49146583,-80.23287083
3456,US,SWF,PIT,SWFPIT,1667,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),41.50409361,-74.10483833,40.49146583,-80.23287083
3457,US,TYS,PIT,TYSPIT,453,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),35.81248722,-83.99285583,40.49146583,-80.23287083
3458,US,ABQ,PIT,ABQPIT,1028,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),35.04022222,-106.6091944,40.49146583,-80.23287083
3459,CO,EWR,PIT,EWRPIT,1099,Continental Air Lines Inc.,40.69249722,-74.16866056,40.49146583,-80.23287083
3460,US,EWR,PIT,EWRPIT,19639,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),40.69249722,-74.16866056,40.49146583,-80.23287083
3461,XE,EWR,PIT,EWRPIT,9861,Expressjet Airlines Inc.,40.69249722,-74.16866056,40.49146583,-80.23287083
3462,US,ISP,PIT,ISPPIT,1728,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),40.7952425,-73.10021194,40.49146583,-80.23287083
3463,B6,JFK,PIT,JFKPIT,2019,JetBlue Airways,40.63975111,-73.77892556,40.49146583,-80.23287083
3464,DH,JFK,PIT,JFKPIT,1,Independence Air,40.63975111,-73.77892556,40.49146583,-80.23287083
3465,EV,JFK,PIT,JFKPIT,90,Atlantic Southeast Airlines,40.63975111,-73.77892556,40.49146583,-80.23287083
3466,MQ,JFK,PIT,JFKPIT,2409,American Eagle Airlines Inc.,40.63975111,-73.77892556,40.49146583,-80.23287083
3467,OH,JFK,PIT,JFKPIT,3239,Comair Inc.,40.63975111,-73.77892556,40.49146583,-80.23287083
3468,TW,JFK,PIT,JFKPIT,343,Trans World Airways LLC,40.63975111,-73.77892556,40.49146583,-80.23287083
3469,US,JFK,PIT,JFKPIT,477,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),40.63975111,-73.77892556,40.49146583,-80.23287083
3470,HP,LAS,PIT,LASPIT,273,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),36.08036111,-115.1523333,40.49146583,-80.23287083
3471,US,LAS,PIT,LASPIT,10055,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),36.08036111,-115.1523333,40.49146583,-80.23287083
3472,WN,LAS,PIT,LASPIT,1797,Southwest Airlines Co.,36.08036111,-115.1523333,40.49146583,-80.23287083
3473,US,LAX,PIT,LAXPIT,14122,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),33.94253611,-118.4080744,40.49146583,-80.23287083
3474,FL,MCO,PIT,MCOPIT,2368,AirTran Airways Corporation,28.42888889,-81.31602778,40.49146583,-80.23287083
3475,US,MCO,PIT,MCOPIT,25362,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),28.42888889,-81.31602778,40.49146583,-80.23287083
3476,WN,MCO,PIT,MCOPIT,2584,Southwest Airlines Co.,28.42888889,-81.31602778,40.49146583,-80.23287083
3477,AA,MIA,PIT,MIAPIT,180,American Airlines Inc.,25.79325,-80.29055556,40.49146583,-80.23287083
3478,MQ,MIA,PIT,MIAPIT,1512,American Eagle Airlines Inc.,25.79325,-80.29055556,40.49146583,-80.23287083
3479,US,MIA,PIT,MIAPIT,7759,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),25.79325,-80.29055556,40.49146583,-80.23287083
3480,US,MSY,PIT,MSYPIT,6116,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),29.99338889,-90.25802778,40.49146583,-80.23287083
3481,HA,OAK,PIT,OAKPIT,1,Hawaiian Airlines Inc.,37.72129083,-122.2207167,40.49146583,-80.23287083
3482,AA,ORD,PIT,ORDPIT,1,American Airlines Inc.,41.979595,-87.90446417,40.49146583,-80.23287083
3483,MQ,ORD,PIT,ORDPIT,12670,American Eagle Airlines Inc.,41.979595,-87.90446417,40.49146583,-80.23287083
3484,OO,ORD,PIT,ORDPIT,1575,Skywest Airlines Inc.,41.979595,-87.90446417,40.49146583,-80.23287083
3485,UA,ORD,PIT,ORDPIT,22527,United Air Lines Inc.,41.979595,-87.90446417,40.49146583,-80.23287083
3486,US,ORD,PIT,ORDPIT,21407,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),41.979595,-87.90446417,40.49146583,-80.23287083
3487,YV,ORD,PIT,ORDPIT,487,Mesa Airlines Inc.,41.979595,-87.90446417,40.49146583,-80.23287083
3488,US,PBI,PIT,PBIPIT,6924,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),26.68316194,-80.09559417,40.49146583,-80.23287083
3489,HP,PHX,PIT,PHXPIT,1617,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),33.43416667,-112.0080556,40.49146583,-80.23287083
3490,US,PHX,PIT,PHXPIT,12686,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),33.43416667,-112.0080556,40.49146583,-80.23287083
3491,WN,PHX,PIT,PHXPIT,820,Southwest Airlines Co.,33.43416667,-112.0080556,40.49146583,-80.23287083
3492,US,PVD,PIT,PVDPIT,12225,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),41.72399917,-71.42822111,40.49146583,-80.23287083
